route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,network_id
,,R20,Bratislava hl. st. - Devínska Nová Ves,,109,,1756a2,ffffff,sk-idsbk
,,R50,Bratislava hl. st. - Pezinok - Trnava,,109,,1756a2,ffffff,sk-idsbk
,,R55,Bratislava-Nové Mesto - Pezinok - Trnava,,109,,1756a2,ffffff,sk-idsbk
,,R60,Bratislava hl. st. - Senec - Galanta,,109,,1756a2,ffffff,sk-idsbk
,,R70,Bratislava hl. st. - Kvetoslavov,,109,,1756a2,ffffff,sk-idsbk
,,S8,Bratislava-Nové Mesto - Bratislava-Rusovce,,109,,1756a2,ffffff,sk-idsbk
,,S20,Bratislava hl. st. - Malacky - Kúty,,109,,1756a2,ffffff,sk-idsbk
,,S50,Bratislava hl. st. - Pezinok - Trnava,,109,,1756a2,ffffff,sk-idsbk
,,S60,Bratislava hl. st. - Senec - Galanta,,109,,1756a2,ffffff,sk-idsbk
,,S70,Bratislava hl. st. - Kvetoslavov,,109,,1756a2,ffffff,sk-idsbk
