Názov stanice,Cestovný poriadok,Bezbariérový prístup
Abovce,160,áno
Alekšince,141,
Andač,141,
Babiná,153,
Bacúch,172,
Bajč,135,áno
Balvany,136,
Banská Belá,154,
Banská Belá zastávka,154,
Banská Bystrica,"170,172",áno
Banská Bystrica mesto,170,áno
Banská Štiavnica,154,
Banský Studenec,154,
Barca,"160,169",
Bardejov,194,áno
Bartošova Lehôtka,171,
Bartošovce,194,áno
Behynce,142,
Belina,164,
Beluša,120,
Belá nad Cirochou,196,
Bernolákovo,130,áno
Betliar,167,
Beňuš,172,
Beša,150,
Biel,190,áno
Bielovce,153,
Biskupová,142,
Blhovce,160,
Bodza,131,
Bohdanovce,190,
Bohúňovo,160,áno
Boleráz,116,áno
Bolešov,124,
Borský Mikuláš,116,áno
Borčice,124,
Borša,190,áno
Bošany,140,
Branč,140,áno
Bratislava hlavná stanica,"100,110,120,130,132",áno
Bratislava predmestie,"120,130",
Bratislava ústredná nákladná stanica,132,
Bratislava-Lamač,"100,110",áno
Bratislava-Nové Mesto,"120,130,131,132",áno
Bratislava-Petržalka,"101,132",áno
Bratislava-Rača,120,áno
Bratislava-Vajnory,130,áno
Bratislava-Vinohrady,"120,130",
Bratislava-Vrakuňa,131,
Bratislava-Železná studienka,110,
Brekov,"191,193",áno
Brestovany,120,áno
Brestovec,121,áno
Breziny,153,
Breznička,"162,163",áno
Brezno,"172,174",áno
Brezno mesto,"172,174",áno
Brezno-Halny,"172,174",
Brezno-Rohozná,174,
Brezová pod Bradlom,117,
Brezová pod Bradlom zastávka,117,
Brodno,127,
Brodské,110,
Brunovce,120,áno
Brusno kúpele,172,áno
Budkovce,195,
Bujakovo zastávka,172,
Buková,116,áno
Bušovce,185,áno
Bystrany na Spiši,187,áno
Bystričany,140,áno
Bystré,193,áno
Bytča,120,
Bytčica,126,áno
Bzenica,150,
Bziny,181,áno
Bzovská Lehôtka,153,
Bzovík,153,
Báhoň,120,áno
Bánov,"140,150,151",
Bánovce nad Bebravou,143,áno
Bánovce nad Ondavou,"191,195",
Bíňa,152,
Bíňa zastávka,152,áno
Bíňovce,116,áno
Cerová-Lieskové,116,áno
Cestice,160,áno
Chmeľnica,185,áno
Chotín,135,áno
Chrabrany,140,
Chrasť nad Hornádom,180,áno
Chrenovec,145,áno
Chvatimech,172,áno
Chynorany,"140,143",áno
Cinobaňa,163,
Cífer,120,áno
Danielov dom,183,
Debraď,168,
Dedinky,173,áno
Demjata,194,
Demjata obec,194,áno
Detva,160,áno
Devičie,153,
Devínska Nová Ves,"100,110",áno
Devínske Jazero,110,áno
Diakovce,134,
Diviaky,"170,171",áno
Dlhá nad Oravou,181,
Dlhé nad Cirochou,196,
Dlhé nad Cirochou obec,196,áno
Dobrá,190,áno
Dobrá Niva,153,
Dobrá Niva zastávka,153,
Dobšinská Ľadová Jaskyňa,173,áno
Dobšiná,167,
Dohňany,125,
Dolná Seč,152,áno
Dolné Hámre,150,
Dolné Kočkovce,120,
Dolné Krškany,140,áno
Dolné Naštice,143,
Dolný Bar,131,
Dolný Harmanec,170,
Dolný Hričov,120,
Dolný Kubín,181,áno
Dolný Kubín zastávka,181,áno
Dolný Smokovec,183,áno
Dolný Štál,131,
Domaníky,153,
Drahovce zastávka,120,áno
Drahňov,195,
Dražovce,141,
Drienovec,160,
Drienovská Nová Ves,188,áno
Drienovská Nová Ves obec,188,áno
Dubnica nad Váhom,120,áno
Dubovec,160,
Dubová,172,
Dudince,153,
Dulov,124,
Dunajov,127,áno
Dunajská Streda,131,áno
Dvorianky,192,
Dvorníky,153,
Dvorníky-Zádiel,160,áno
Dvory nad Žitavou,130,áno
Dyčka,151,
Dúbravka,195,
Fiľakovo,"160,164",
Fiľakovo zastávka,160,
Forbasy,185,áno
Fulianka,194,áno
Galanta,"130,133",áno
Gašparovo,172,
Gbelce,130,
Gbely,114,
Gbely zastávka,114,
Gelnica,173,áno
Gelnica mesto,173,áno
Gelnica zastávka,173,áno
Gemer,160,
Gemerská Hôrka,160,
Gemerská Hôrka zastávka,165,áno
Gemerská Panica,160,áno
Gemerská Poloma,167,
Gemerský Milhosť,165,áno
Geča,169,
Gortva,160,áno
Gočovo,167,
Gyňov,169,áno
Gánovce,180,
Gáň,133,áno
Hadovce,136,
Hajnáčka,160,
Handlová,145,áno
Haniska pri Košiciach,160,áno
Haniska pri Prešove,188,áno
Hankovce,191,
Hanušovce nad Topľou,193,
Hanušovce nad Topľou mesto,193,áno
Harichovce,186,
Harmanec,170,
Harmanec jaskyňa,170,
Hatalov,195,
Hačava,174,
Hačava skálie,174,
Hažín nad Cirochou,196,
Helcmanovce,173,áno
Henckovce,167,
Hencovce,193,
Hertník,194,
Heľpa,172,
Hlboké,116,
Hlinné,193,áno
Hliník nad Hronom,150,
Hlohovec,141,áno
Hnilec,173,áno
Hnúšťa,174,
Hnúšťa zastávka,174,
Hodejov,160,
Holiša,160,
Holíč nad Moravou,"114,115",áno
Hontianske Nemce,153,
Hontianske Tesáre,153,
Horná Lehota,181,
Horná Streda,120,áno
Horná Zlatná,131,
Horná Štubňa,"145,171",áno
Horná Štubňa obec,170,
Horná Štubňa zastávka,171,
Horné Ozorovce,143,áno
Horné Srnie,123,
Horný Hričov,120,
Horný Pial,150,áno
Horný Smokovec,184,áno
Horovce,124,
Hrabovec nad Laborcom,191,
Hrachovište,121,áno
Hrachovo,174,áno
Hradište pod Vrátnom,117,
Hrboltová,180,áno
Hrhov,160,áno
Hrinište,191,
Hrkovce,153,
Hromoš,185,áno
Hronovce,152,áno
Hronsek,170,áno
Hronská Dúbrava,"150,154,171",áno
Hronské Kľačany,150,áno
Hronský Beňadik,150,
Hucín,165,áno
Hul,150,
Humenné,"191,193,196",áno
Humenné mesto,"191,196",áno
Huncovce,185,áno
Hurbanovo,135,áno
Hutníky,160,
Ilava,120,áno
Ipeľský Sokolec,153,
Istebné,181,áno
Ivanka pri Dunaji,130,áno
Ivanka pri Nitre,140,áno
Jablonica,"116,117",áno
Jablonica obec,117,
Jablonov nad Turňou,160,
Jablonové,112,
Jaklovce,173,áno
Jalná,150,
Jalovec,145,áno
Jasov,168,áno
Jastrabá,171,
Jatov,130,áno
Jazernica,170,áno
Jelenec,141,
Jelšava,165,áno
Jelšavská Teplica,165,áno
Jelšovce,140,
Jesenské,"160,174",
Jesenské zastávka,174,
Jesenské údolie,150,
Jovice,160,áno
Kalinovo,162,áno
Kalná nad Hronom,150,áno
Kalonda,161,áno
Kalša,190,áno
Kamanová,140,
Kamenica nad Cirochou,196,áno
Kamenica nad Cirochou dvor,196,áno
Kameničná,136,
Kamenný Most nad Hronom,152,
Kamenín,152,áno
Kapince,142,
Kapušany pri Prešove,"193,194",
Katarínska Huta,163,
Katúň,187,áno
Kaňová,122,
Kechnec,169,áno
Kendice,188,áno
Kežmarok,185,áno
Kežmarok zastávka,185,áno
Kežmarok-Pradiareň,185,áno
Kluknava,180,
Kláštor pod Znievom,170,áno
Klčovany,116,áno
Kmeťovo,151,
Kochanovce,191,áno
Kociha,174,
Kokava nad Rimavicou,162,áno
Kokava nad Rimavicou-Liešnica,162,áno
Kolárovo,136,
Komjatice,140,
Komárany,193,
Komárno,"131,135,136",áno
Komárno závody,131,
Komárno škola,136,
Koniarovce,140,
Konská pri Rajci,126,
Kopčany,114,
Kostiviarska,170,
Kostolná-Zariečie,120,áno
Kostoľany nad Hornádom,180,áno
Kozelník,154,
Kozárovce,"141,150",áno
Kozárovce zastávka,141,
Koš,140,áno
Košeca,120,áno
Košice,"120,160,169,180,190",áno
Košice predmestie,"160,169,190",áno
Koškovce,191,áno
Košťany nad Turcom,170,áno
Kraľovany,"120,180,181",áno
Kraľovany zastávka,181,áno
Kremnica,171,
Kremnické Bane,171,
Krivany,188,
Krivá,181,
Kriváň,160,áno
Krišovská Liesková,195,
Križovany nad Dudváhom,133,áno
Krompachy,180,áno
Krpeľany,180,áno
Krupina,153,
Krupina predmestie,153,
Krušovce,140,
Krásna Hôrka,181,
Krásna nad Hornádom,190,áno
Krásno nad Kysucou,127,áno
Krásny Brod,191,
Kráľka,136,
Kráľova Lehota,180,
Kuchyňa,112,
Kuklov,116,áno
Kunova Teplica,166,
Kuzmice,190,áno
Kvetoslavov,131,áno
Kvetoslavov zastávka,131,áno
Kysak,"120,180,188",áno
Kysucké Nové Mesto,127,áno
Kátov,114,
Kútniky,131,
Kúty,"110,114,116",áno
Kľačany,141,áno
Kľače,126,áno
Kľušov,194,
Lada,193,
Ladce,120,áno
Ladice,141,
Lastovce,191,áno
Laškovce,191,
Lednické Rovne,124,
Lehnice,131,áno
Lenartovce,160,
Leopoldov,"120,133,141",áno
Leopoldov zastávka,141,áno
Letanovce,180,áno
Levice,"150,152",áno
Levoča,186,áno
Lietavská Lúčka,126,áno
